"pr2_accession"	"tax"
"KF747308.1.1034_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; Amoebozoa_XXXX; Amoebozoa_XXXXX; Amoebozoa_XXXXXX; Amoebozoa_XXXXXX_sp."
"FN562426.1.1723_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; Amoebozoa_XXXX; Pa19-lineage; Pa19-lineage_X; Pa19-lineage_X_sp."
"FN562422.1.1690_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; Amoebozoa_XXXX; Pa19-lineage; Pa19-lineage_X; Pa19-lineage_X_sp."
"FN562425.1.1732_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; Amoebozoa_XXXX; Pa19-lineage; Pa19-lineage_X; Pa19-lineage_X_sp."
"FJ410594.1.800_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; UI13E03-lineage; UI13E03-lineage_X; UI13E03-lineage_XX; UI13E03-lineage_XX_sp."
"EU446346.1.1543_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; UI13E03-lineage; UI13E03-lineage_X; UI13E03-lineage_XX; UI13E03-lineage_XX_sp."
"AB505007.1.548_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; UI13E03-lineage; UI13E03-lineage_X; UI13E03-lineage_XX; UI13E03-lineage_XX_sp."
"OBEP010194977.11.1284_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; UI13E03-lineage; UI13E03-lineage_X; UI13E03-lineage_XX; UI13E03-lineage_XX_sp."
"OBEP010250276.14.1289_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Amoebozoa_XXX; UI13E03-lineage; UI13E03-lineage_X; UI13E03-lineage_XX; UI13E03-lineage_XX_sp."
"FN562428.1.1177_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562418.1.1235_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562420.1.1754_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562424.1.1024_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562429.1.1242_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562423.1.1207_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562421.1.1753_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562419.1.1752_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"FN562427.1.1210_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"JQ271788.1.1830_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"JQ271786.1.1830_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"JQ271787.1.1830_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"LN581022.1.747_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"LN587511.1.752_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"MH643883.1.891_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"OBEP011685657.1.1443_U"	"Eukaryota; Amoebozoa; Amoebozoa_X; Amoebozoa_XX; Lobosa-G1; Lobosa-G1_X; Lobosa-G1_XX; Lobosa-G1_XXX; Lobosa-G1_XXX_sp."
"AY026242.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"AF019064.1.2682_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"AF239293.1.754_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"HQ007041.1.547_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"KF607041.1.676_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"LN588278.1.1012_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"MZ272180.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"MZ272087.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"U07414.24.2255_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"EF554328.1.2236_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF114438.1.2301_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07401.24.2204_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"GU001160.1.2287_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07413.24.2267_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07403.24.2259_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF251938.1.2245_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07405.18.2261_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"M13435.1.2303_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF260721.1.2231_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AEYA01002259.6099.8404_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF260724.1.2239_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"JF437606.1.1517_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07400.12.2259_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07416.21.2276_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF318462.1.2256_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928935.1.912_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928937.1.1473_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928938.1.1371_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928940.1.1591_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928946.1.1339_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KF928951.1.1331_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF239162.1.724_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KP221679.1.926_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KX431478.1.560_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KX431477.1.516_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"KY072782.1.1454_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
