pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
KJ541118.1.3804_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Amoeboaphelidium	Amoeboaphelidium_protococcarum	1	
JX507298.99.1890_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Amoeboaphelidium	Amoeboaphelidium_protococcarum	1	
LC488190.1.1683_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_collabens	1	APH2
KY249641.1.3521_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_desmodesmi	1	FD104
MW186929.1.1493_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_insulamus	1	X-134
MW354078.1.1302_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_insulamus	1	O-11
OQ145498.1.1127_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_insulamus	1	O-11
LC652435.1.1688_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_parallelum	1	KS114
LC652437.1.687_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_parallelum	1	KS114
KJ566931.1.1276_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_sp.	1	
KY129663.1.1319_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aphelidium_tribonemae	1	
MN733418.1.1316_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Aphelidium	Aplheidium_arduennense	1	X-132
KY412789.1.1406_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Paraphelidium	Paraphelidium_letcheri	1	
KX576682.1.1775_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Paraphelidium	Paraphelidium_tribonemae	1	
MK631785.1.1628_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Paraphelidium	Paraphelidium_tribonemae	1	NN4
KX576681.1.1167_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Paraphelidium	Paraphelidium_tribonemae	1	
KX576680.1.1056_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Aphelidiomycota	Aphelidiales	Aphelidiaceae	Paraphelidium	Paraphelidium_tribonemae	1	
AB597203.1.1774_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella_sp.	1	NBRC 105922
AB597204.1.1775_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella_thermophila	1	NBRC 33279
AB597205.1.1676_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Calcarisporiellales	Calcarisporiellaceae	Calcarisporiella	Calcarisporiella_thermophila	1	CBS 279.70
AH009047.1158.1720_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Allochytridium	Allochytridium_expandens	1	BK69-3
JN940948.1.1071_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Allochytridium	Allochytridium_luteum	1	BR 463 (DAOM)
AY349047.1.969_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Allochytridium	Allochytridium_luteum	1	ALLO
EU828473.1.842_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Allochytridium	Allochytridium_luteum	1	
AY988500.1.1637_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Asterophlyctis	Asterophlyctis_sarcoptoides	1	JEL186
AF164317.1.1059_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Asterophlyctis	Asterophlyctis_sarcoptoides	1	JEL186
AH009060.1.1059_U	Eukaryota	Obazoa	Opisthokonta	Fungi	Chytridiomycota	Chytridiales	Chytridiaceae	Asterophlyctis	Asterophlyctis_sarcoptoides	1	JEL186
