"pr2_accession"	"tax"
"KC899044.1.995_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"AB275015.1.1636_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU545669.1.971_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU545702.1.981_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"AB275086.1.1679_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU087270.1.896_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU545720.1.969_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"GQ330641.1.1371_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU087209.1.894_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU087275.1.882_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EF100326.1.1445_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU087219.1.896_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EU087230.1.906_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
"EF100332.1.1421_U"	"Eukaryota; TSAR; Alveolata; Apicomplexa; Apicomplexa_X; Apicomplexa_XX; Apicomplexa_XXX; Apicomplexa_XXXX; Apicomplexa_XXXX_sp."
