pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
KP343638.1.1982_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_bicoronata	1	VELKA
KP343637.1.1981_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_bicoronata	1	VELKA
KP343636.1.1980_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_bicoronata	1	VELKA
KP343635.1.1963_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_elongata	1	VAVRH
KP343634.1.1961_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_elongata	1	VAVRH
KP343633.1.1960_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_elongata	1	VAVRH
KP343632.1.1787_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_libera	1	OLB6AN
KP343631.1.1783_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_libera	1	OLB6AN
KP343630.1.1779_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_libera	1	OLB6AN
KP343624.1.504_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_libera	1	BOTANKA
KP343627.1.1873_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_vacuolata	1	GOL1
KP343629.1.1872_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_vacuolata	1	GOL18
KP343626.1.1871_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_vacuolata	1	GOL1
KP343628.1.1870_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Archamoebea_XX	Rhizomastix	Rhizomastix_vacuolata	1	GOL18
KR025411.1.1927_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bangladeshi	1	8111
KR025412.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bangladeshi	1	8237
FN666252.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	
FN666250.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	
FN666249.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	
FN666251.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	
FN666248.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	
OM900113.1.1921_U	Eukaryota	Amoebozoa	Evosea	Evosea_X	Archamoebea	Archamoebea_X	Entamoebidae	Entamoeba	Entamoeba_bovis	1	 
