pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AY179985.1.1701_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	ARMOP1	ARMOP1_X	ARMOP1_X_sp.	1	
FJ000246.1.1323_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	ARMOP1	ARMOP1_X	ARMOP1_X_sp.	1	
AY256331.1.1246_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	ARMOP1	ARMOP1_X	ARMOP1_X_sp.	1	
AY256271.1.1168_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	ARMOP1	ARMOP1_X	ARMOP1_X_sp.	1	
KY025569.1.1671_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_bacillatus	1	
KY025568.1.1666_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_caducus	1	
KY025567.1.1670_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_campanula	1	
KY025570.1.1656_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_darwini	1	
KY025588.1.1622_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_denarius	1	
MW872361.1.1527_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_spinosus	1	ZWB2018041701
KF607085.1.1672_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Apometopidae	Urostomides	Urostomides_striatus	1	
AB252766.1.1612_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
AY821942.1.1471_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
LN869935.1.1046_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
HF568850.1.899_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
AY605221.1.771_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903066.1.710_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903068.1.693_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903055.1.676_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903056.1.665_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903067.1.600_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
LC028301.1.572_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
FJ903052.1.566_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Armophorea_XXX	Armophorea_XXX_sp.	1	
KF607084.1.1670_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Atopospira	Atopospira_galeata	1	
KF607086.1.1671_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Atopospira	Atopospira_violacea	1	
MN604066.1.1264_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Castula	Castula_flexibilis	1	KLANM
OP034702.1.1305_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Castula	Castula_fusca	1	LERMONSTR
KY855536.1.1675_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Castula	Castula_setosa	1	
OP034703.1.1676_U	Eukaryota	TSAR	Alveolata	Ciliophora	Armophorea	Armophorea_X	Armophorea_XX	Castula	Castula_sp.	1	LIB2C
