"pr2_accession"	"tax"
"AF419245.21.1744_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Balliopsis; Balliopsis_prieurii"
"FJ386466.1.1716_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_antipodites"
"JF701694.1.1722_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_antipodites"
"KC511083.1.1660_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_arcuatum"
"FJ386467.1.1716_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_arcuatum"
"FJ386468.1.1716_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_arcuatum"
"AF026044.1.1765_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_boryanum"
"FJ386470.1.1715_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_brasiliense"
"AF026045.1.1765_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_gelatinosum"
"JF701693.1.1723_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_helminthosum"
"FJ386474.1.1717_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_helminthosum"
"AF026046.1.1766_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_helminthosum"
"JF701690.1.1725_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
"JF701689.1.1725_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
"FJ386476.1.1718_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
"FJ386475.1.1718_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
"AF026048.1.1770_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
"JF701691.1.1725_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Batrachospermales; Batrachospermales_X; Batrachospermum; Batrachospermum_macrosporum"
