"pr2_accession"	"tax"
"AY026242.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"AF019064.1.2682_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"AF239293.1.754_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"HQ007041.1.547_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"KF607041.1.676_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"LN588278.1.1012_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"MZ272180.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"MZ272087.1.2559_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_astronyxis"
"U07414.24.2255_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"EF554328.1.2236_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF114438.1.2301_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07401.24.2204_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"GU001160.1.2287_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07413.24.2267_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07403.24.2259_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF251938.1.2245_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"U07405.18.2261_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"M13435.1.2303_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AF260721.1.2231_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
"AEYA01002259.6099.8404_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Centramoebia; Acanthopodida; Acanthamoebidae; Acanthamoeba; Acanthamoeba_castellanii"
