"pr2_accession"	"tax"
"AY643486.1.1775_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Aglaothamnion; Aglaothamnion_callophyllidicola"
"EU718678.1.1764_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Aglaothamnion; Aglaothamnion_feldmanniae"
"DQ022771.1.1770_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Aglaothamnion; Aglaothamnion_halliae"
"EU718679.1.1776_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Aglaothamnion; Aglaothamnion_tenuissimum"
"DQ022767.1.1679_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Aristoptilon; Aristoptilon_mooreanum"
"EU718682.1.1770_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Callithamnion; Callithamnion_collabens"
"DQ022769.1.1706_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Callithamnion; Callithamnion_collabens"
"DQ022770.1.1707_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Callithamnion; Callithamnion_pikeanum"
"AF488380.1.1775_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Callithamnion; Callithamnion_pikeanum"
"DQ022772.1.1611_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Carpothamnion; Carpothamnion_gunnianum"
"U32563.1.1774_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Crouania; Crouania_attenuata"
"DQ022763.1.1654_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Crouania; Crouania_elisiae"
"EU718687.1.1774_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Diapse; Diapse_ptilota"
"DQ022766.1.1705_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Diapse; Diapse_ptilota"
"EU718688.1.1759_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilocladia; Euptilocladia_spongiosa"
"EU718689.1.1775_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilota; Euptilota_articulata"
"DQ022777.1.1711_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilota; Euptilota_articulata"
"DQ022779.1.1700_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilota; Euptilota_fergusonii"
"DQ022778.1.1688_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilota; Euptilota_formosissima"
"DQ022780.1.1719_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Euptilota; Euptilota_molle"
"DQ022764.1.1683_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Falklandiella; Falklandiella_harveyi"
"DQ022765.1.1687_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Georgiella; Georgiella_confluens"
"KC415030.1.1639_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Gulsonia; Gulsonia_nodulosa"
"DQ022768.1.1682_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Heteroptilon; Heteroptilon_pappeanum"
"DQ022762.1.1681_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Ptilocladia; Ptilocladia_pulchra"
"EU718699.1.1751_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Florideophyceae; Ceramiales; Callithamniaceae; Ptilocladia; Ptilocladia_sp."
