"pr2_accession"	"tax"
"FJ607477.1.1161_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthepeira; Acanthepeira_stellata"
"AY620942.1.1136_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthodavacarus; Acanthodavacarus_klompeni"
"DQ639843.1.1652_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthogonatus; Acanthogonatus_campanae"
"DQ639844.1.1655_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthogonatus; Acanthogonatus_nahuelbuta"
"GU338479.1.1722_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"FJ838716.1.776_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002915.1.573_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002936.1.573_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002950.1.797_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002994.1.797_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002921.1.797_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002941.1.797_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002993.1.797_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"KT002939.1.796_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoneta; Acanthoneta_sp."
"DQ639775.1.1695_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoscurria; Acanthoscurria_sp."
"AZMS0104792104.2.1178_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acanthoscurria; Acanthoscurria_sp."
"KF782389.1.832_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acaphyllisa; Acaphyllisa_deutziasis"
"EF203769.1.1516_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_gracilis"
"JQ000104.1.1526_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_immobilis"
"JQ000103.1.1752_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_siro"
"EU152495.1.1543_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_siro"
"AF022023.1.1732_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_siro"
"AY499563.1.717_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Arthropoda; Chelicerata; Arachnida; Acarus; Acarus_siro"
