"pr2_accession"	"tax"
"FJ354983.1.1047_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"HQ867016.1.883_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"AY425301.1.1772_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"FJ354982.1.1047_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"HQ866924.1.873_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"EF527125.1.1760_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"EU143391.1.906_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"EU143388.1.906_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"EF527133.16.1840_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
"FJ354871.1.1047_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chlorodendrophyceae; Chlorodendrales; Chlorodendraceae; Chlorodendrales_XX; Chlorodendrales_X_sp."
