"pr2_accession"	"tax"
"JX188278.1.1748_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"HM474478.1.867_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"FJ537474.1.838_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"JX188313.1.1769_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"AJ402345.1.1758_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"AB180203.1.1703_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KT860688.1.690_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KT860793.1.524_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"JX291894.1.730_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KU843577.1.1935_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KU843587.1.1934_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KU843593.1.1627_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"GQ382526.1.613_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B2_sp."
"KF031587.1.1745_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537305.1.1754_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"JX188277.1.1745_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537308.1.1753_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"MF077476.1.1611_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"AY535040.1.585_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"AY872268.1.559_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537672.1.767_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537466.1.737_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537461.1.713_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"FJ537679.1.650_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"GU433149.1.562_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"HM227655.1.506_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"JQ243733.1.576_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"JQ243129.1.576_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_B3_sp."
"GU823721.1.1062_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_japonica"
"KF422628.1.1643_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_japonica"
"FJ537357.1.1785_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_pacifica"
"JX188291.1.1768_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_pacifica"
"GQ863825.1.1682_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_pacifica"
"FJ537359.1.806_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_pacifica"
"EU143502.1.899_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Chloropicophyceae; Chloropicales; Chloropicaceae; Chloroparvula; Chloroparvula_pacifica"
