pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
KJ762979.1.1783_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecida_X	Acanthoecida_XX	Acanthoecida_XX_sp.	1	
JQ782320.1.889_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecida_X	Acanthoecida_XX	Acanthoecida_XX_sp.	1	
MH687869.1.1752_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae	Enibas	Enibas_tolerabilis	1	HFCC1243
KT625475.1.1420_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae	Polyoeca	Polyoeca_dichotoma	1	
KT757415.1.1746_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoeca	Acanthoeca_spectabilis	1	
AF084233.1.1740_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoeca	Acanthoeca_spectabilis	1	
EF526885.1.1784_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
JN090872.1.1779_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF432531.1.1778_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526984.1.1768_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526866.1.1740_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
FN690480.1.1682_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526751.1.1547_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526736.1.1543_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526724.1.1542_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526726.1.1541_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EU446388.1.1541_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526721.1.1536_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF527203.1.1506_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526839.1.1396_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526822.1.1395_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
DQ310214.1.1393_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526843.1.1392_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526812.1.1392_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526776.1.1326_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526777.1.1321_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
EF526858.1.1315_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU824891.1.1097_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825561.1.1097_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU824253.1.1078_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU824604.1.1077_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825154.1.1075_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825238.1.1066_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825288.1.1066_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU823730.1.1066_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU824146.1.1066_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU969091.1.1052_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825242.1.1039_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU969087.1.1029_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
GU825547.1.1027_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
HQ865767.1.878_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
HQ868248.1.871_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
HQ868447.1.871_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Acanthoecidae_Group_G_X	Acanthoecidae_Group_G_X_sp.	1	
KU587840.1.1589_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Calliacantha	Calliacantha_longicaudata	1	
KU587842.1.1693_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Calliacantha	Calliacantha_natans	1	
AF272000.1.1761_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Calliacantha	Calliacantha_sp.	1	South African
L10823.1.1780_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Helgoeca	Helgoeca_nana	1	
KT757452.1.1747_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Helgoeca	Helgoeca_nana	1	
EF523335.1.613_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Helgoeca	Helgoeca_nana	1	HFCC401
EU011928.1.1772_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Savillea	Savillea_micropora	1	
EF523337.1.616_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Savillea	Savillea_micropora	1	HFCC412
KT757467.1.1746_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Acanthoecidae_Group_G	Savillea	Savillea_parva	1	ATCC 50073
KU587839.1.1585_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Bicosta	Bicosta_minor	1	
KU587844.1.1449_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Cosmoeca	Cosmoeca_ventricosa	1	
KU587845.1.1589_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Crinolina	Crinolina_isefjordiensis	1	
KT757444.1.1759_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Didymoeca	Didymoeca_costata	1	
KT625473.1.1479_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Didymoeca	Didymoeca_elongata	1	
KU587849.1.1453_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Pleurasiga	Pleurasiga_minima	1	
KU587851.1.1448_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Pleurasiga	Pleurasiga_reynoldsii	1	
EF523336.1.619_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Stephanoeca	Stephanoeca_apheles	1	HFCC411
JX069943.1.1521_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae	Stephanoeca	Stephanoeca_arndti	1	
HQ026764.1.1101_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Acanthocorbis	Acanthocorbis_unguiculata	1	
EF523338.1.615_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Acanthocorbis	Acanthocorbis_unguiculata	1	HFCC413
EF523339.1.615_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Acanthocorbis	Acanthocorbis_unguiculata	1	HFCC417
EF523340.1.614_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Acanthocorbis	Acanthocorbis_unguiculata	1	HFCC418
KJ764228.1.1792_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
KJ762023.1.1790_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
KJ763316.1.1790_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
AY426848.1.1787_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
HM581783.1.1776_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
DQ120005.1.1764_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
EF432538.1.1754_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
AY665096.1.1737_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
EF432539.1.1707_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FN690465.1.1692_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FN690484.1.1685_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FN690464.1.1684_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
KC488357.1.1681_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
KC488358.1.1607_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
EF527008.1.1552_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
EF526803.1.1334_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FJ153672.1.1239_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
JF488780.1.1127_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
JF488800.1.1115_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
HM369540.1.1073_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
HQ026765.1.1022_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	MMC-2011a
JQ955986.1.977_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FJ971795.1.968_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FJ169746.1.964_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
JQ956256.1.961_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
JQ782357.1.961_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
FJ971827.1.959_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
EU682616.1.947_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
HM561134.1.946_U	Eukaryota	Obazoa	Opisthokonta	Choanoflagellata	Choanoflagellatea	Acanthoecida	Stephanoecidae_Group_D	Stephanoecidae_Group_D_X	Stephanoecidae_Group_D_X_sp.	1	
