"pr2_accession"	"tax"
"AB597203.1.1774_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635474.1.555_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635451.1.540_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635455.1.561_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635448.1.559_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635468.1.559_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AJ635472.1.561_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"KJ475955.1.758_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_sp."
"AB597204.1.1775_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_thermophila"
"AB597205.1.1676_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Calcarisporiellales; Calcarisporiellaceae; Calcarisporiella; Calcarisporiella_thermophila"
"AH009047.1158.1720_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Allochytridium; Allochytridium_expandens"
"AY349047.1.969_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Allochytridium; Allochytridium_luteum"
"JN940948.1.1071_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Allochytridium; Allochytridium_luteum"
"EU828473.1.842_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Allochytridium; Allochytridium_luteum"
"AF164317.1.1059_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Asterophlyctis; Asterophlyctis_sarcoptoides"
"AY988500.1.1637_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Asterophlyctis; Asterophlyctis_sarcoptoides"
"AH009060.1160.1736_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Asterophlyctis; Asterophlyctis_sarcoptoides"
"AH009060.1.1059_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Asterophlyctis; Asterophlyctis_sarcoptoides"
"FJ804152.1.1004_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Chytridiomycota; Chytridiales; Chytridiaceae; Chytridium; Chytridium_lagenaria"
