"pr2_accession"	"tax"
"AJ133548.1.1821_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acabaria; Acabaria_formosa"
"LT631291.1.1822_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acabaria; Acabaria_formosa"
"AJ133547.1.1820_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acabaria; Acabaria_habereri"
"AJ133545.1.1822_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acalycigorgia; Acalycigorgia_inermis"
"AJ133546.1.1821_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acalycigorgia; Acalycigorgia_irregularis"
"GU206549.1.1628_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanella; Acanella_eburnea"
"KX270215.1.606_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanella; Acanella_eburnea"
"KX270214.1.663_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanella; Acanella_eburnea"
"FJ643593.1.1779_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_granulata"
"AF052907.1.1852_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_sp."
"FJ389261.1.1760_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_sp."
"FJ389259.1.1760_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_sp."
"KF856057.1.1186_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_sp."
"KF856055.1.1186_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_spissa"
"KF856056.1.1183_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_spissa"
"KF856058.1.1180_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthogorgia; Acanthogorgia_spissa"
"AF052910.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acanthoptilum; Acanthoptilum_sp."
"KC700005.1.1735_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acraspedanthus; Acraspedanthus_ferax"
"KC700004.1.1330_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acraspedanthus; Acraspedanthus_sp."
"LT631052.1.1847_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"BACK02018406.1021.2872_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"KP774815.1.1653_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"KP774813.1.1675_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631030.1.1822_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631038.1.1826_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631042.1.1864_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631046.1.1835_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631054.1.1843_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631062.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631066.1.1859_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631070.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631074.1.1815_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631029.1.1869_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631037.1.1822_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631041.1.1826_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631045.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631049.1.1815_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631053.1.1827_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631057.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631061.1.1835_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631065.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631069.1.1843_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631031.1.1866_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631035.1.1849_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631039.1.1849_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631043.1.1865_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631047.1.1835_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631051.1.1835_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631055.1.1827_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631059.1.1851_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631063.1.1851_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631067.1.1835_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631071.1.1821_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631028.1.1830_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631032.1.1822_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631036.1.1849_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
"LT631040.1.1815_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Cnidaria; Cnidaria_X; Anthozoa; Acropora; Acropora_kimbeensis"
