"pr2_accession"	"tax"
"JN673817.1.1227_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_abyssicola"
"MF599310.1.1803_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_abyssicola"
"HF912438.1.1659_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_abyssicola"
"D15068.1.1676_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"AF293695.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"AF293699.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"JN142214.1.519_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"KP334109.1.587_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"MF599315.1.1788_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"MF599318.1.1231_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"MF599316.1.1796_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_cucumis"
"AF293697.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_forskalii"
"AF293698.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_forskalii"
"MF599317.1.1637_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_forskalii"
"AF293696.1.1802_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_gracilis"
"AF293694.1.1801_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_ovata"
"HG931678.1.907_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_ovata"
"JN653095.1.709_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_ovata"
"U19542.1.652_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Beroe; Beroe_ovata"
"AF293687.1.1803_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Ctenophora; Ctenophora_X; Ctenophora_XX; Bolinopsis; Bolinopsis_infundibulum"
