"pr2_accession"	"tax"
"HQ141515.1.1893_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"HQ141517.1.1894_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"HQ141518.1.1896_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"HQ141516.1.1901_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"HQ141523.1.1895_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"HQ141520.1.1289_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662183.1.1781_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662184.1.1763_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662185.1.1741_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662186.1.1753_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662187.1.1752_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662190.1.1764_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662193.1.1778_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662194.1.1807_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662197.1.1784_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662198.1.1670_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
"KF662200.1.1719_U"	"Eukaryota; Amoebozoa; Evosea; Eumycetozoa; Eumycetozoa_X; Dictyosteliida; Dictyosteliida-Group-I; Dictyostelium-Group-I; Dictyostelium-Group-I_sp."
