"pr2_accession"	"tax"
"KP862836.1.2106_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_profundata"
"KP862834.1.2106_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_profundata"
"KP862838.1.2105_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_profundata"
"KP862837.1.1899_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_profundata"
"KP862835.1.2106_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_profundata"
"MN317566.1.2078_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_russae"
"MN317565.1.2071_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_russae"
"MN317564.1.2073_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_russae"
"MN317563.1.2036_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_russae"
"KP862841.1.2083_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_thuwala"
"KP862840.1.2079_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_thuwala"
"KP862839.1.2082_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_thuwala"
"KP862842.1.2070_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Dactylopodida_X; Cunea; Cunea_thuwala"
"KU535558.1.1840_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"AB970389.1.543_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"EU646952.1.566_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"GDBK01032773.1.1307_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"FN396464.1.574_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"GQ844529.1.573_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"HQ999178.1.540_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"OBEP011526195.144.1383_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
"OBEP011418239.1.1182_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Flabellinia; Dactylopodida; Paramoebidae; Korotnevella; Korotnevella_fousta"
