pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
DQ343661.1.1772_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Acrosymphyton	Acrosymphyton_caribaeum	1	
AF317091.21.1743_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Acrosymphyton	Acrosymphyton_purpuriferum	1	
AY437647.1.1776_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Acrotylus	Acrotylus_australis	1	
KM853190.1.1876_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Acrotylus	Acrotylus_patruelis	1	OR190
AY437648.1.1777_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Amphiplexia	Amphiplexia_hymenocladioides	1	
AY437649.1.1773_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Antrocentrum	Antrocentrum_nigrescens	1	
U09613.1.1775_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Areschougia	Areschougia_congesta	1	
AY772728.1.1784_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Atractophora	Atractophora_hypnoides	1	
AY437666.1.1776_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Austroclonium	Austroclonium_charoides	1	
AY437653.1.1782_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Betaphycus	Betaphycus_speciosum	1	
GQ337071.1.1746_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Bonnemaisonia	Bonnemaisonia_asparagoides	1	
GQ337072.1.1729_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Bonnemaisonia	Bonnemaisonia_clavata	1	
L26182.3.1764_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Bonnemaisonia	Bonnemaisonia_hamifera	1	
GQ337073.1.1746_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Bonnemaisonia	Bonnemaisonia_hamifera	1	
AJ880421.1.1671_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Bonnemaisonia	Bonnemaisonia_hamifera	1	SAG 1353-1
AY437667.1.1772_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_celatospora	1	
AY437668.1.1773_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_ciliata	1	
KC121069.1.1730_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_ciliata	1	20000b
KC121070.1.1730_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_ciliata	1	20001b
AY437669.1.1773_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_jubata	1	
KC121074.1.1753_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_jubata	1	20002b
AY437670.1.1772_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_planicaulis	1	
KC121071.1.1725_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_sp.	1	26428c
KC121072.1.1725_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_sp.	1	24107b
KC121073.1.1725_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Calliblepharis	Calliblepharis_sp.	1	24213b
FJ660605.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_densus	1	
FJ660606.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_densus	1	
FJ660607.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_densus	1	
FJ660608.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_densus	1	
FJ660609.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_densus	1	
AY437654.1.1775_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_oppositifolius	1	
FJ660613.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_serratus	1	
FJ660610.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_serratus	1	
FJ660612.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_serratus	1	
FJ660611.1.1182_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophycus	Callophycus_serratus	1	
U33123.1.1773_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Callophyllis	Callophyllis_rangiferina	1	
AY437661.1.1791_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Catenella	Catenella_caespitosa	1	
AY437662.1.1791_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Catenella	Catenella_nipae	1	
AY437663.1.1783_U	Eukaryota	Archaeplastida	Rhodophyta	Rhodophyta_X	Florideophyceae	Gigartinales	Gigartinales_X	Caulacanthus	Caulacanthus_okamurae	1	
