pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
GU437219.1.3605_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	AusBG-8-1
GU437218.1.2469_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	HI06-7a-5a
GU437222.1.2437_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	Sk6a-1
GU437222.1.2437_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	Sk6a-1
GU437220.1.2028_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	BM07-A1-1
GU437218.1.2469_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	HI06-7a-5a
GU437219.1.3605_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	AusBG-8-1
GU437221.1.1835_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	HI09-40B
GU437221.1.1835_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_helenhemmesae	1	HI09-40B
HM114345.1.3114_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	HI06-7a-5b
HM114344.1.3100_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	ATCC MYA-3509
HM114346.1.2751_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	ATCC MYA-3364
HM114346.1.2751_UC	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	ATCC MYA-3364
HM114345.1.3114_UC	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	HI06-7a-5b
HM114344.1.3100_UC	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_kona	1	ATCC MYA-3509
AF011458.1.3112_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	T-235
HM114340.1.3100_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	1Ba5-1
AF011458.1.3112_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	T-235
HM114339.1.2086_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	NJ08-1A-1
HM114341.1.2081_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	NZ05-36a-1
HM114342.1.2080_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	UK05-8-2
HM114340.1.3100_R	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	1Ba5-1
HM114343.1.1369_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_rosea	1	LOST07-L11-1
HM114347.1.1998_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Acrasis	Acrasis_takarsan	1	THAI08-23g-1
MF680037.1.2003_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Allovahlkampfia	Allovahlkampfia_minuta	1	GF1
JQ271670.1.3495_U	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Allovahlkampfia	Allovahlkampfia_sp.	1	PV66
DQ388519.1.3442_G	Eukaryota	Excavata	Discoba	Discoba_X	Heterolobosea	Acrasida	Acrasidae	Allovahlkampfia	Allovahlkampfia_sp.	1	
