pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AY965870.1.1850_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andalucia	Andalucia_godoyi	1	
AY965865.1.1752_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andalucia	Andalucia_godoyi	1	
FJ410564.1.800_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andalucia	Andalucia_godoyi	1	
JX296585.1.1809_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JX296586.1.1808_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JX296587.1.1807_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JX296589.1.1806_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JX296584.1.1805_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JX296588.1.1804_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Andaluciidae	Andaluciidae_AND1	Andaluciidae_AND1_sp.	1	
JF774844.1.525_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Histionidae	Histionidae_X	Histionidae_X_sp.	1	
AF053089.1.1843_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Histionidae	Reclinomonas	Reclinomonas_americana	1	
FJ157340.1.1680_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobida_X	Jakobida_XX	Jakobida_XX_sp.	1	
LC369601.1.1749_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobida_X	Ophirina	Ophirina_amphinema	1	JB
ON979549.1.1081_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobida_X	Ophirina	Ophirina_chinija	1	LJ06
AY117418.1.1844_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobidae	Jakoba	Jakoba_libera	1	ATCC 50422
AF411288.1.1838_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobidae	Jakoba	Jakoba_libera	1	WHOI DB9
EF100314.1.1340_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobidae	Jakoba	Jakoba_libera	1	
HQ190236.1.556_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobidae	Jakoba	Jakoba_libera	1	
AJ862408.1.515_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Jakobidae	Jakoba	Jakoba_libera	1	
KT878762.1.1933_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Moramonadidae	Moramonas	Moramonas_marocensis	1	
DQ190541.1.1842_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Moramonadidae	Seculamonas	Seculamonas_ecuadoriensis	1	ATCC 50688
KP144399.1.1833_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_adhaerens	1	
KP144401.1.1820_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_adhaerens	1	
KP144400.1.697_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_adhaerens	1	
KJ003952.1.559_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_adhaerens	1	
KP144397.1.1905_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_agilis	1	
KP144398.1.1881_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_agilis	1	
KP144396.1.1855_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_agilis	1	
FJ352774.1.1156_U	Eukaryota	Excavata	Discoba	Discoba_X	Discoba_XX	Jakobida	Stygiellidae	Stygiella	Stygiella_agilis	1	
