pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
GU823104.1.1238_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-16	MAST-16_X	MAST-16_X_sp.	1	
GU823089.1.1213_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-16	MAST-16_X	MAST-16_X_sp.	1	
GU823479.1.1093_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-16	MAST-16_X	MAST-16_X_sp.	1	
GU823586.1.1091_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-16	MAST-16_X	MAST-16_X_sp.	1	
AY256330.1.1287_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
GU823323.1.1206_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
AY882528.1.1201_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
GU823238.1.1074_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
GU823194.1.1074_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
GU823146.1.1051_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
AY882510.1.956_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
HQ866104.1.888_U	Eukaryota	TSAR	Stramenopiles	Bigyra	Opalozoa	Bicosoecida	MAST-22	MAST-22A	MAST-22A_sp.	1	
