pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
GU827603.1.2184_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
KY031954.1.1752_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	S16
GU827591.1.1742_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AB275112.1.1677_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
EF100339.1.1401_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046769.1.1179_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046633.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046799.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046823.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046645.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046850.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046628.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046820.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046847.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046857.1.1177_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046831.1.1175_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY046867.1.1150_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
GU824552.1.1084_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
HF568853.1.975_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
EF100342.1.603_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonadidae_X	Carpediemonadidae_X_sp.	1	
AY117416.1.1763_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonas	Carpediemonas_membranifera	1	
GU827594.1.1717_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Carpediemonas	Carpediemonas_membranifera	1	
AB263123.1.1704_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Dysnectes	Dysnectes_brevis	1	
GU827595.1.1705_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Dysnectes	Dysnectes_sp.	1	
GU827592.1.1756_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Ergobibamus	Ergobibamus_cyprinoides	1	
FJ628363.1.1683_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Hicanonectes	Hicanonectes_teleskopos	1	
GU827604.1.1761_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827596.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827602.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827597.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827598.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827600.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827599.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827605.1.1711_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827588.1.1710_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827593.1.1710_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
GU827601.1.1707_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	
PP516326.1.1172_U	Eukaryota	Excavata	Metamonada	Fornicata	Carpediemonadea	Carpediemonadida	Carpediemonadidae	Kipferlia	Kipferlia_bialata	1	 
