"pr2_accession"	"tax"
"HM990666.1.1801_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990664.1.1806_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990669.1.1611_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990659.1.1809_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"DQ267705.1.1762_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990660.1.1801_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990663.1.1802_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990662.1.1799_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"FR865649.2.1771_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990667.1.1661_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990665.1.1801_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"DQ267704.1.1751_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990668.1.1597_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"AF153313.1.1752_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"AF153314.1.1752_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"AF125167.1.1752_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"HM990661.1.1799_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"KF591595.1.1695_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"KF615769.1.1628_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"EU935604.1.576_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"EU935606.1.619_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"EU935605.1.578_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"FJ221560.1.545_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"GQ911608.1.704_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"GQ911618.1.658_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"GQ911649.1.525_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
"OL489757.1.634_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Picocystophyceae; Picocystales; Picocystaceae; Picocystis; Picocystis_salinarum"
