pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
ON989823.1.1559_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Acineria	Acineria_incurvata	1	NJH07001
KJ680557.1.1532_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Acineria	Acineria_incurvata	1	
EU242510.1.1633_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_aeschtae	1	GD pop1
KF871282.1.1591_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_dragescoi	1	
FJ876974.1.1555_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_litonotiformis	1	
OR042382.1.1591_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_orientalis	1	 
OL828283.1.1591_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_orientalis	1	 
OL828281.1.1563_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_paracarchesii	1	 
OL828282.1.1515_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Amphileptus	Amphileptus_pilosus	1	 
MK736944.1.1594_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Apolitonotus	Apolitonotus_lynni	1	PHB2010040706-1
GU574809.1.1641_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Epiphyllum	Epiphyllum_shenzhenense	1	
AY102173.1.1636_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Hemiophrys	Hemiophrys_macrostoma	1	
AY102175.1.1636_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Hemiophrys	Hemiophrys_procera	1	
FJ875144.1.1640_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllidae	Kentrophyllidae_sp.	1	
KP870178.1.1640_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllidae	Kentrophyllidae_sp.	1	
KM025126.1.1539_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllidae	Kentrophyllidae_sp.	1	
KM025125.1.1531_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllidae	Kentrophyllidae_sp.	1	
KP685259.1.1009_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllidae	Kentrophyllidae_sp.	1	
KX581243.1.1597_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllum	Kentrophyllum_setigerum	1	
KJ680556.1.1545_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllum	Kentrophyllum_verrucosum	1	
KM025127.1.1531_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Kentrophyllum	Kentrophyllum_verrucosum	1	
KP010148.1.1595_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_gracilis	1	
KT222269.1.1538_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_gracilis	1	
EU242509.1.1635_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_paracygnus	1	GD pop1
GQ351698.1.1634_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_paracygnus	1	
GQ351697.1.1634_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_paracygnus	1	
DQ190464.1.1634_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_paracygnus	1	
GQ351699.1.1635_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_pictus	1	
GQ351700.1.1635_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_pictus	1	
GQ351701.1.1635_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Litonotus	Litonotus_pictus	1	
JN974453.1.1638_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Loxophyllum	Loxophyllum_caudatum	1	
JN974455.1.1636_U	Eukaryota	TSAR	Alveolata	Ciliophora	Litostomatea	Haptoria_5	Pleurostomatida	Loxophyllum	Loxophyllum_chinense	1	
