"pr2_accession"	"tax"
"AF182192.1.1805_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Anamixilla; Anamixilla_sp."
"AF452020.1.1801_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Anamixilla; Anamixilla_torresi"
"JQ272315.1.1764_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"AM180971.1.1799_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385161.1.1013_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385173.1.1134_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385218.1.1137_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385172.1.1054_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385221.1.1092_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385162.1.1098_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385171.1.1539_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"MH385220.1.1102_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Aphroceras; Aphroceras_sp."
"AB191436.1.1707_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Calcarea_X; Calcarea_X_sp."
"KF176611.1.1607_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Calcarea_X; Calcarea_X_sp."
"JF304991.1.890_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Calcarea_X; Calcarea_X_sp."
"AM180962.1.1792_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_adusta"
"KC479081.1.1611_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_blanca"
"U42452.1.1796_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_cerebrum"
"AM180957.1.1791_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_cerebrum"
"KC479079.1.1612_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_clathrus"
"JX945642.1.1134_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_clathrus"
"AM180958.1.1792_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_helveola"
"KC479080.1.1612_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_hondurensis"
"AM180959.1.1791_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_luteoculcitella"
"KC479078.1.1611_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_rubra"
"AM180960.1.1792_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_sp."
"JQ272310.1.1262_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_sp."
"FR819695.1.1751_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_sp."
"AM180961.1.1774_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Clathrina; Clathrina_wistariensis"
"AM180980.1.1744_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Eilhardia; Eilhardia_schulzei"
"JQ272312.1.1782_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"JQ272313.1.1782_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"FR819693.1.1759_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385157.1.1795_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385169.1.1111_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385177.1.1089_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385186.1.1112_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385190.1.1132_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385198.1.961_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385202.1.1115_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385214.1.1111_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385185.1.1044_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385189.1.1136_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385201.1.1789_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385205.1.1109_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385209.1.1116_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385213.1.985_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385217.1.937_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385174.1.981_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385183.1.1098_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385211.1.1114_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385215.1.986_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385167.1.1120_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385188.1.1116_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385212.1.1100_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"MH385216.1.1046_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantessa; Grantessa_sp."
"AF452021.1.1717_U"	"Eukaryota; Obazoa; Opisthokonta; Metazoa; Porifera; Porifera_X; Calcarea; Grantia; Grantia_compressa"
