"pr2_accession"	"tax"
"AB114638.1.1761_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"L36066.1.2863_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AF169340.1.1803_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"D88387.572.2991_R"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"D88387.572.2991_G"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AB053491.1.2257_R"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AB053491.1.2257_G"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AF169341.1.1803_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AB114639.1.1761_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"AF169339.1.1803_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KF219758.1.1744_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KM453238.1.1779_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KP279681.1.2365_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KM453239.1.1777_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KP747608.1.3268_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
"KM453237.1.1778_U"	"Eukaryota; Archaeplastida; Rhodophyta; Rhodophyta_X; Bangiophyceae; Bangiales; Bangiaceae; Bangia; Bangia_atropurpurea"
