pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
AF387160.1.1687_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	Microspora_sp.	1	UTEX LB 472
KM056293.1.956_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	Microspora_sp.	1	120
AF387153.1.1691_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Microsporaceae	Microspora	Microspora_stagnorum	1	SAG 51.86
AY197639.1.3404_G	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
AY197639.1.3404_R	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
AY197641.1.1779_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
AY197638.1.1757_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
AY197634.1.1757_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
JX524612.1.1061_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	
EU250282.1.804_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	CZ43
EU250281.1.804_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	CZ33
EU250280.1.801_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Scenedesmaceae_X	Scenedesmaceae_X_sp.	1	CZ10
JQ356709.1.1068_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetrastrum	Tetrastrum_heteracanthum	1	SAG 24.81
JQ356702.1.1611_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetrastrum	Tetrastrum_staurogeniaeforme	1	KR 1996/3
JQ356703.1.1563_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetrastrum	Tetrastrum_staurogeniaeforme	1	SAG 45.81
LC425390.1.1709_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Tetrastrum	Tetrastrum_staurogeniiforme	1	NIES-4217
