"pr2_accession"	"tax"
"AB330051.1.1530_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU920424.1.530_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU920926.1.520_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU922847.1.537_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU921718.1.518_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU923210.1.541_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU920233.1.520_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU920757.1.524_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"GU923222.1.506_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP010091124.1.1508_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP010155020.1.1490_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP010165347.14.1503_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP011511363.14.1204_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP010063620.1.1443_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP011498583.1.1522_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
"OBEP011518759.1.1556_U"	"Eukaryota; Amoebozoa; Discosea; Discosea_X; Stygamoebida; Stygamoebida_X; Stygamoebida_XX; Stygamoebida_XXX; Stygamoebida_XXX_sp."
