"pr2_accession"	"tax"
"EF052682.1.1598_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_anauniensis"
"AY829528.1.1759_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"HQ688730.1.516_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"KC575238.1.557_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"KF534601.1.518_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"MF685331.1.1459_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"MF685332.1.1394_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Baldinia; Baldinia_sp."
"AY443025.1.1753_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"GU067825.1.1681_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"EF058253.1.1725_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"JQ639766.1.1609_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"HE655327.1.904_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"KF446616.1.1195_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
"KF446617.1.1174_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Suessiales; Borghiellaceae; Borghiella; Borghiella_tenuissima"
