"pr2_accession"	"tax"
"JX446472.1.1076_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorellaceae_X; Chlorellaceae_X_sp."
"JX446468.1.930_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorellaceae_X; Chlorellaceae_X_sp."
"JX446473.1.683_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Chlorellaceae_X; Chlorellaceae_X_sp."
"EU434023.1.1758_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_interrupta"
"EU434022.1.1748_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_interrupta"
"EU434021.1.1758_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_interrupta"
"AF387151.1.1692_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_minor"
"AF387150.1.1692_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_minor"
"AF387157.1.1664_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_sp."
"AF387158.1.1692_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_sp."
"EU434025.1.1758_U"	"Eukaryota; Archaeplastida; Chlorophyta; Chlorophyta_X; Trebouxiophyceae; Chlorellales; Chlorellaceae; Geminella; Geminella_sp."
