"pr2_accession"	"tax"
"EU273464.1.2551_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Corycida; Trichosida; Trichosidae; Trichosphaerium; Trichosphaerium_sp."
"EU273465.1.2583_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Corycida; Trichosida; Trichosidae; Trichosphaerium; Trichosphaerium_sp."
"EU273471.1.2471_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Corycida; Trichosida; Trichosidae; Trichosphaerium; Trichosphaerium_sp."
"AF293895.1.1827_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"EU377602.1.603_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"AB970418.1.540_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"EU273828.1.525_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"FPLS01013306.14.1271_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"HQ999015.1.539_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"LC122951.1.540_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"LN585909.1.747_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"LN577416.1.748_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"LN586625.1.742_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"OBEP010279484.1.1442_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"OBEP011496641.169.1565_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
"OBEP011504056.169.1565_U"	"Eukaryota; Amoebozoa; Tubulinea; Tubulinea_X; Echinamoebida; Echinamoebida_X; Echinamoebidae; Echinamoeba; Echinamoeba_exundans"
