pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
FJ715685.1.644_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Bryopsis	Bryopsis_sp.	1	EE4
KF840146.1.1755_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_corynephora	1	
KF840145.1.1792_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_cupressoides	1	
KF840144.1.1770_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_cupressoides	1	
JN034412.1.1763_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_lentillifera	1	
JQ745692.1.1798_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_mexicana	1	
JF932256.1.1783_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_microphysa	1	
JQ745690.1.1790_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_peltata	1	
JQ745693.1.1784_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_peltata	1	
JQ745684.1.1767_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_peltata	1	
JQ745685.1.1800_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_racemosa	1	
JQ745681.1.1795_U	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Ulvophyceae	Bryopsidales	Bryopsidales_X	Caulerpa	Caulerpa_racemosa	1	
