"pr2_accession"	"tax"
"EF513172.1.1732_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Cavostelium; Cavostelium_apophysatum"
"FJ766476.1.1777_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Cavostelium; Cavostelium_apophysatum"
"FJ766477.1.1927_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_amoeboidea"
"FJ766478.1.1876_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_amoeboidea"
"EF513179.1.1909_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_amoeboidea"
"FJ766475.1.1786_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_pseudoendospora"
"FPLS01007571.1.1356_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_pseudoendospora"
"FPLS01020156.13.1252_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_pseudoendospora"
"OBEP011533644.1.1356_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_pseudoendospora"
"EF513180.1.1812_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_vulgaris"
"KP864100.1.1578_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_vulgaris"
"KP864101.1.1816_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_vulgaris"
"OBEP011679927.1.1578_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_vulgaris"
"OBEP011514364.1.1194_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Schizoplasmodiopsis; Schizoplasmodiopsis_vulgaris"
"FJ792703.1.1818_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Tychosporium; Tychosporium_acutostipes"
"FJ792704.1.1818_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Tychosporium; Tychosporium_acutostipes"
"GQ462808.1.557_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Cavosteliida; Cavosteliida_X; Tychosporium; Tychosporium_acutostipes"
"EU273440.1.1934_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB222335.1.542_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB222337.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB222336.1.542_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB526180.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB526181.1.536_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB526183.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB526182.1.537_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB769305.1.525_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB769348.1.537_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970105.1.573_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970115.1.561_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970157.1.539_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970193.1.570_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970237.1.575_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970265.1.576_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970351.1.567_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970380.1.523_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970441.1.577_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970449.1.574_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970455.1.575_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970010.1.575_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"AB970348.1.579_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"FPLS01004894.1.1490_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775045.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775049.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775055.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775059.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775063.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"HQ910381.1.559_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775047.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775051.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775053.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775057.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
"JF775061.1.541_U"	"Eukaryota; Amoebozoa; Evosea; Evosea_X; Variosea; Flamellidae; ATCC50593-lineage; ATCC50593-lineage_X; ATCC50593-lineage_X_sp."
