"pr2_accession"	"tax"
"AB771798.1.1671_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"AB771904.1.1576_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU824274.1.1380_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"AB771813.1.1671_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"EU143869.1.800_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"AY919771.1.1719_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU824752.1.1056_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU825065.1.1056_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"HM581715.1.1787_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU825140.1.1056_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"AB771889.1.1650_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU824902.1.1180_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"EU087281.1.1058_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU824669.1.1181_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"AB771841.1.1670_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"GU824446.1.1181_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"KJ757374.1.1796_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"KJ758173.1.1790_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"KJ763207.1.1781_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"KJ925185.1.1482_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775187.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775191.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775224.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775193.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775197.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775212.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775216.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775220.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775222.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
"JF775188.1.520_U"	"Eukaryota; TSAR; Alveolata; Alveolata_X; Alveolata_XX; Alveolata_XXX; Alveolata_XXXX; Alveolata_XXXXX; Alveolata_XXXXX_sp."
