pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
KT461933.1.1731_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria	Cyrtophoria_X	Atopochilodon	Atopochilodon_distichum	1	
KJ759492.1.1752_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KJ759544.1.1724_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KJ762607.1.1723_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KJ759341.1.1721_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
JQ956270.1.1617_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
AB330055.1.1510_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
FN598266.1.1052_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HM561003.1.970_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HM561000.1.966_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HM561001.1.964_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HM561002.1.962_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
EU561827.1.890_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
EU561869.1.839_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP270460.1.809_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP269665.1.809_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP269667.1.796_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HQ394137.1.785_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP269464.1.769_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP270471.1.755_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
JF727585.1.751_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KP270514.1.745_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
HM859270.1.674_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
JX268960.1.671_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
JX842324.1.563_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
KF534571.1.528_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	PHYLL_4	PHYLL_4_X	PHYLL_4_X_sp.	1	
FJ870070.1.1726_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_1	Pithitidae	Pithites	Pithites_vorax	1	
KJ509198.1.1656_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_2	Lynchellidae_1	Chlamydonella	Chlamydonella_derouxi	1	
KC753486.1.1650_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_2	Lynchellidae_1	Chlamydonella	Chlamydonella_irregularis	1	
FJ998033.1.1731_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_2	Lynchellidae_1	Chlamydonellopsis	Chlamydonellopsis_calkinsi	1	GD-CFL08112801
JQ782284.1.851_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_2	Lynchellidae_1	Chlamydonellopsis	Chlamydonellopsis_sp.	1	
KC753489.1.1662_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_2	Nassulopsidae	Coeloperix	Coeloperix_sleighi	1	
HQ605947.1.1640_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_3	Lynchellidae_2	Aporthotrochilia	Aporthotrochilia_pulex	1	PHB2009121509
KX364494.1.1678_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_3	Lynchellidae_2	Lynchella	Lynchella_minuta	1	
FJ868203.1.1731_U	Eukaryota	TSAR	Alveolata	Ciliophora	Phyllopharyngea	Cyrtophoria_3	Lynchellidae_2	Lynchella	Lynchella_nordica	1	
