Name;species;gb_strain;pr2_ocean
JX188278.1.1748_U;Chloroparvula_B2_sp.; ;Pacific Ocean
HM474478.1.867_U;Chloroparvula_B3_sp.; ;Pacific Ocean
FJ537474.1.838_U;Chloroparvula_B2_sp.; ;Pacific Ocean
JX188313.1.1769_U;Chloroparvula_B2_sp.; ;Pacific Ocean
AJ402345.1.1758_U;Chloropicon_A6_sp.; ; 
AB180203.1.1703_U;Chloroparvula_B2_sp.; ; 
KT860688.1.690_U;Chloroparvula_B2_sp.;RCC696; 
KT860793.1.524_U;Chloroparvula_B2_sp.;RCC2337; 
JX291894.1.730_U;Chloroparvula_B2_sp.; ; 
KU843577.1.1935_U;Chloroparvula_B2_sp.;RCC696; 
KU843587.1.1934_U;Chloroparvula_B2_sp.;RCC999; 
KU843593.1.1627_U;Chloroparvula_B2_sp.;RCC2337; 
GQ382526.1.613_U;Chloroparvula_B2_sp.; ; 
KF031587.1.1745_U;Chloroparvula_B3_sp.; ;Pacific Ocean
FJ537305.1.1754_U;Chloroparvula_B3_sp.; ;Pacific Ocean
JX188277.1.1745_U;Chloroparvula_B3_sp.; ;Pacific Ocean
FJ537308.1.1753_U;Chloroparvula_B3_sp.; ;Pacific Ocean
MF077476.1.1611_U;Chloroparvula_B3_sp.;RCC4572; 
AY535040.1.585_U;Chloroparvula_B3_sp.; ; 
AY872268.1.559_U;Chloroparvula_B3_sp.; ; 
FJ537672.1.767_U;Chloroparvula_B3_sp.; ; 
FJ537466.1.737_U;Chloroparvula_B3_sp.; ; 
FJ537461.1.713_U;Chloroparvula_B3_sp.; ; 
FJ537679.1.650_U;Chloroparvula_B3_sp.; ; 
GU433149.1.562_U;Chloroparvula_pacifica; ; 
HM227655.1.506_U;Chloroparvula_pacifica; ; 
JQ243129.1.576_U;Chloroparvula_B3_sp.; ; 
GU823721.1.1062_U;Chloroparvula_japonica; ;Atlantic Ocean
KF422628.1.1643_U;Chloroparvula_japonica;RCC2339; 
