"pr2_accession"	"tax"
"KT950767.1.857_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Agglomerata; Agglomerata_cladocera"
"KF549987.1.1271_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Agmasoma; Agmasoma_penaei"
"KT950766.1.862_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Alfvenia; Alfvenia_sibirica"
"KC111791.1.656_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Alfvenia; Alfvenia_sibirica"
"OBEP011012600.2.1274_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Alfvenia; Alfvenia_sibirica"
"JF826402.1.1332_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_bakcharia"
"JF826403.1.1055_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_baritia"
"JF826404.1.1358_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_bogashovia"
"AY090068.1.1297_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_bracteata"
"U68473.1.1338_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_californica"
"AY090056.1.1399_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_canadensis"
"JF826405.1.1342_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_chulymia"
"AY090060.1.1248_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_cinerei"
"AY090057.1.1258_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_cinerei"
"AY090059.1.1252_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_cinerei"
"AY090058.1.1257_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_cinerei"
"AF025685.1.1368_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_connecticus"
"AY090043.1.1351_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_excrucii"
"AY090044.1.1351_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_excrucii"
"AY090062.1.1332_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_ferocious"
"JF826406.1.1372_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_flavescens"
"JF826407.1.1289_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_hristinia"
"AY090051.1.1305_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_indicola"
"JF826408.1.1323_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_jurginia"
"JF826409.1.1338_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_kazankia"
"AY090046.1.1380_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_khaliulini"
"AY090047.1.1373_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_khaliulini"
"AY090045.1.1380_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_khaliulini"
"JF826410.1.1294_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_kolarovi"
"JF826411.1.1355_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_mavlukevia"
"JF826412.1.1338_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_mocrushinia"
"JF826413.1.1304_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_modestium"
"HM594264.1.1456_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_rugosa"
"HM594266.1.1376_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_rugosa"
"HM594265.1.1347_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_rugosa"
"JF826414.1.1339_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_rugosa"
"JF826415.1.1357_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_salairia"
"AY326270.1.1508_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_salinaria"
"JF826417.1.1372_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_severinia"
"JF826416.1.1358_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_shegaria"
"U68474.1.1348_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_sp."
"AY090053.1.1352_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_sp."
"AJ252949.1.1332_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_sp."
"AY090055.1.1348_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_sp."
"KC855558.1.1297_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_sp."
"AY090049.1.1372_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_stictici"
"AY090050.1.1233_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_stimuli"
"AF027685.1.1361_U"	"Eukaryota; Obazoa; Opisthokonta; Fungi; Opisthosporidia; Microsporida; Microsporida_X; Amblyospora; Amblyospora_stimuli"
