"pr2_accession"	"tax"
"GU820118.1.1198_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"GU355678.1.1215_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"GU355679.1.1212_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"JF308269.1.623_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"HM859716.1.639_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"MT191359.1.1282_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Abedinium; Abedinium_dasypus"
"KJ187034.1.1794_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Ailadinium; Ailadinium_reticulatum"
"KJ187035.1.1729_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Ailadinium; Ailadinium_reticulatum"
"AB212091.1.1746_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Amphidiniella; Amphidiniella_sedentaria"
"LC057317.1.1761_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Amphidiniella; Amphidiniella_sedentaria"
"KR139785.1.1213_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Cucumeridinium; Cucumeridinium_coeruleum"
"KR139786.1.1135_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Cucumeridinium; Cucumeridinium_coeruleum"
"OP452940.1.1517_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Cucumeridinium; Cucumeridinium_coeruleum"
"KR139788.1.1207_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Cucumeridinium; Cucumeridinium_cucumis"
"KR139787.1.1205_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Cucumeridinium; Cucumeridinium_lira"
"AB919106.1.1730_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Dapsilidinium; Dapsilidinium_pastielsii"
"HQ867355.1.870_U"	"Eukaryota; TSAR; Alveolata; Dinoflagellata; Dinophyceae; Dinophyceae_X; Dinophyceae_XX; Dinophyceae_XXX; Dinophyceae_XXX_sp."
