"pr2_accession"	"tax"
"JX988758.1.1807_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"AB238147.1.571_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"AJ965237.1.608_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"AY295566.1.543_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"AY295445.1.548_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"AY885047.1.593_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182732.1.502_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182736.1.508_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182748.1.509_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182761.1.506_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182797.1.506_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182799.1.506_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU562018.1.776_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"DQ647540.1.562_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FJ431633.1.730_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182783.1.507_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182795.1.503_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182735.1.505_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182739.1.509_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182731.1.506_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"EU182764.1.506_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FJ221768.1.582_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FJ431699.1.720_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FJ221446.1.580_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FUFK010713296.2.1155_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"FJ431345.1.557_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"GQ382752.1.548_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"GU433126.1.567_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369652.1.519_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369678.1.520_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369684.1.522_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369657.1.521_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369658.1.519_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM595055.1.742_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HQ156881.1.763_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HQ688711.1.521_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"HM369679.1.519_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JN418962.1.522_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JN418964.1.524_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JF791026.1.1777_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JQ782282.1.581_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JN418965.1.524_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841345.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841684.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX842020.1.592_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX842028.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC337003.1.697_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC337007.1.701_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC337026.1.742_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JN418963.1.524_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841438.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841650.1.597_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841765.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX645111.1.505_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"JX841506.1.595_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC336913.1.508_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC336950.1.706_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC337013.1.692_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC337024.1.740_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC336920.1.717_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
"KC336953.1.599_U"	"Eukaryota; Archaeplastida; Picozoa; Picozoa_X; Picomonadea; Picomonadida; Picomonadidae; Picomonas; Picomonas_judraskeda"
