pr2_accession	domain	supergroup	division	subdivision	class	order	family	genus	species	pr2_annotated	gb_strain
DQ103826.1.1838_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AB505554.1.1761_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749520.1.1751_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
KJ925160.1.1743_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
KJ925286.1.1740_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
KJ925281.1.1728_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
KJ925514.1.1718_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY821943.1.1709_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749489.1.1696_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
DQ103825.1.1682_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749509.1.1681_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY821944.1.1649_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749502.1.1635_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749532.1.1628_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749536.1.1627_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749550.1.1626_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749519.1.1625_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749485.1.1624_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749542.1.1620_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
AY749521.1.1619_U	Eukaryota	Haptista	Centroplasthelida	Centroplasthelida_X	Centroplasthelida_XX	Centroplasthelida_XXX	Centroplasthelida_XXXX	Centroplasthelida_XXXXX	Centroplasthelida_XXXXX_sp.	1	
